GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
erp-backend/backend,com.erp.server.infra,GlobalExceptionHandler,33,25,0,0,9,5,6,3,6,3
erp-backend/backend,com.erp.server.infra,RedisConfiguration,0,36,0,0,0,10,0,3,0,3
erp-backend/backend,com.erp.server.infra,SecurityFilter,0,62,0,4,0,19,0,7,0,5
erp-backend/backend,com.erp.server.infra,TimeConfig,0,9,0,0,0,3,0,2,0,2
erp-backend/backend,com.erp.server.responses,ProductResponse,0,30,0,0,0,8,0,3,0,3
erp-backend/backend,com.erp.server.responses,DefaultErrorResponse,0,6,0,0,0,1,0,1,0,1
erp-backend/backend,com.erp.server.responses,StocksResponse,0,19,0,0,0,5,0,2,0,2
erp-backend/backend,com.erp.server.responses,StockResponse,0,25,0,0,0,6,0,2,0,2
erp-backend/backend,com.erp.server.responses,ProductsResponse,0,19,0,0,0,3,0,2,0,2
erp-backend/backend,com.erp.server.responses,StockItemResponse,0,31,0,0,0,7,0,2,0,2
erp-backend/backend,com.erp.server.responses,TokenResponse,0,6,0,0,0,1,0,1,0,1
erp-backend/backend,com.erp.server.requests,OrderCreateRequest,0,28,0,0,0,6,0,3,0,3
erp-backend/backend,com.erp.server.requests,StockUpdateRequest,0,6,0,0,0,1,0,1,0,1
erp-backend/backend,com.erp.server.requests,ProductCreateRequest,0,8,0,0,0,2,0,2,0,2
erp-backend/backend,com.erp.server.requests,StockCreateRequest,0,6,0,0,0,1,0,1,0,1
erp-backend/backend,com.erp.server.requests,ProductUpdateRequest,7,18,2,4,1,2,2,4,1,2
erp-backend/backend,com.erp.server.requests,StockItemCreateRequest,0,15,0,0,0,1,0,1,0,1
erp-backend/backend,com.erp.server.requests,OrderItemRequest,0,9,0,0,0,1,0,1,0,1
erp-backend/backend,com.erp.server.requests,StockItemUpdateRequest,0,9,0,0,0,1,0,1,0,1
erp-backend/backend,com.erp.server.requests,LoginRequest,0,9,0,0,0,1,0,1,0,1
erp-backend/backend,com.erp.server.controllers,LoginController,0,31,0,0,0,6,0,1,0,1
erp-backend/backend,com.erp.server.controllers,StockItemsController,20,77,0,0,4,16,0,4,0,4
erp-backend/backend,com.erp.server.controllers,StocksController,22,56,0,0,6,14,0,5,0,5
erp-backend/backend,com.erp.server.controllers,ProductsController,22,94,0,0,6,22,0,6,0,6
erp-backend/backend,com.erp.server.exceptions,InvalidItemPriceOrQuantityException,0,4,0,0,0,2,0,1,0,1
erp-backend/backend,com.erp.server.exceptions,StockAlreadyHasProductException,0,4,0,0,0,2,0,1,0,1
